action,case_rating,case_state,case_type
Assign handling firm 'SAD',5,Alabama,Any
Assign handling firm 'Hollis Wright and Clay',1-4,Alabama,Any
Assign handling firm 'Hollis Wright and Clay',1-4,Alabama,Worker Compensation
Assign handling firm 'Morgan and Morgan',1-4,Alabama,Labour Law
Assign handling firm 'Run through Adam',1-5,Hawaii,Any
Assign handling firm 'Run through testing',4,Hawaii,Labour Law
Assign handling firm 'TEST HA',1-3,Hawaii,Medical Malfuntion
Assign handling firm 'SAD',1-5,Alaska,Any
Assign handling firm 'Morgan and Morgan',1-5,Alaska,Labour Law
Assign handling firm 'SAD',3,Alaska,Any
Assign handling firm 'test AL',1-2,Alaska,Nursing Home
Assign handling firm 'SAD',5,Louisiana,Any
Assign handling firm 'Blase',1-4,Louisiana,Any
Assign handling firm 'Clinesmith',1-4,Louisiana,Nursing Home
Assign handling firm 'SAD',1-4,Louisiana,Product Liability
Assign handling firm 'Workers Compensation LLC',1-4,Louisiana,Worker Compensation
Assign handling firm 'Morgan and Morgan',1-4,Louisiana,Labour Law
Assign handling firm 'TEST LO',1-2,Louisiana,Medical Malfuntion
Assign handling firm 'REFER TO NJ SECTION',1-5,New Jersey,Any
Assign handling firm 'SAD',5,Oregon,Any
"Assign handling firm 'Bottini, Bottini and Oswald'",1-4,Oregon,Any
Assign handling firm 'SAD',1-4,Oregon,Nursing Home
"Assign handling firm 'Bottini, Bottini and Oswald'",1-4,Oregon,Product Liability
"Assign handling firm 'Bottini, Bottini, and Oswald'",1-4,Oregon,Worker Compensation
Assign handling firm 'Morgan and Morgan',1-4,Oregon,Labour Law
Assign handling firm 'SAD',5,Minnesota,Any
Assign handling firm 'TSR Injury Law',1-4,Minnesota,Any
Assign handling firm 'SAD',1-4,Minnesota,Product Liability
Assign handling firm 'TSR Injury Law',1-4,Minnesota,Worker Compensation
Assign handling firm 'Morgan and Morgan',1-4,Minnesota,Labour Law
Assign handling firm 'SAD',5,Michigan,Any
Assign handling firm 'Jay Trucks',1-4,Michigan,Any
Assign handling firm 'SAD',1-4,Michigan,Product Liability
Assign handling firm 'Michigan Auto Law'for Northern Part of State,1-4,Michigan,Automobile Accident
Assign handling firm 'Jay Trucks'for Southern Part of the State,1-4,Michigan,Automobile Accident
Assign handling firm 'Jay Trucks',1-4,Michigan,Worker Compensation
Assign handling firm 'Morgan and Morgan',1-4,Michigan,Labour Law
Assign handling firm 'SAD',5,Massachusetts,Any
Assign handling firm 'Keches',1-4,Massachusetts,Any
Assign handling firm 'Keches',1-4,Massachusetts,Nursing Home
Assign handling firm 'Keches',1-4,Massachusetts,Product Liability
Assign handling firm 'Sean Flaherty',1-4,Massachusetts,Worker Compensation
Assign handling firm 'Sean Flaherty',1-4,Massachusetts,Labour Law
Assign handling firm 'SAD',5,Maine,Any
Assign handling firm 'Keches',1-4,Maine,Any
Assign handling firm 'Keches',1-4,Maine,Nursing Home
Assign handling firm 'Keches',1-4,Maine,Product Liability
Assign handling firm 'Keches',1-4,Maine,Worker Compensation
Assign handling firm 'Morgan and Morgan',1-4,Maine,Labour Law
Assign handling firm 'TEST M',1-2,Maine,Nursing Home
Assign handling firm 'SAD',5,Utah,Any
Assign handling firm 'Lowe Law Group',1-4,Utah,Any
Assign handling firm 'SAD',1-4,Utah,Nursing Home
Assign handling firm 'SAD',1-4,Utah,Product Liability
Assign handling firm 'Lazzara Law Firm',1-4,Utah,Automobile Accident
Assign handling firm 'SAD',1-4,Utah,Worker Compensation
Assign handling firm 'Morgan and Morgan',1-4,Utah,Labour Law
Assign handling firm 'SAD',5,Texas,Any
Assign handling firm 'Ledger Law Firm',4,Texas,Any
Assign handling firm 'Daniel Stark',3,Texas,Any
Assign handling firm 'Cruz',1-2,Texas,Any
Assign handling firm 'Clinesmith',1-4,Texas,Nursing Home
Assign handling firm 'SAD',1-4,Texas,Product Liability
Assign handling firm 'Manuel Gonzales',1-4,Texas,Worker Compensation
Assign handling firm 'Morgan and Morgan',1-4,Texas,Labour Law
Assign handling firm 'SAD',5,Tennessee,Any
Assign handling firm 'Hughes Coleman',1-4,Tennessee,Any
Assign handling firm 'Clinesmith',1-4,Tennessee,Nursing Home
Assign handling firm 'SAD',1-4,Tennessee,Product Liability
Assign handling firm 'Hughes Coleman',1-4,Tennessee,Worker Compensation
Assign handling firm 'Morgan and Morgan',1-4,Tennessee,Labour Law
Assign handling firm 'SAD',5,North Dakota,Any
Assign handling firm 'SAD',1-4,North Dakota,Any
Assign handling firm 'SAD',1-4,North Dakota,Nursing Home
Assign handling firm 'SAD',1-4,North Dakota,Product Liability
Assign handling firm 'Steven Latham',1-4,North Dakota,Worker Compensation
Assign handling firm 'Morgan and Morgan',1-4,North Dakota,Labour Law
Assign handling firm 'SAD',5,North Carolina,Any
Assign handling firm 'Ricci',1-4,North Carolina,Any
Assign handling firm 'Riddle and Brantley',1-4,North Carolina,Nursing Home
Assign handling firm 'SAD',1-4,North Carolina,Product Liability
Assign handling firm 'Brian Ricci',1-4,North Carolina,Worker Compensation
Assign handling firm 'The Noble Firm',1-4,North Carolina,Labour Law
Assign handling firm 'Dylan',5,Nevada,Any
Assign handling firm 'Richard Harris Law',1-4,Nevada,Any
Assign handling firm 'Richard Harris Law',1-4,Nevada,Nursing Home
Assign handling firm 'Richard Harris Law',1-4,Nevada,Product Liability
Assign handling firm 'Cooper Levinsom'for the case  in within 60 miles of Vegas,1-4,Nevada,Any
Assign handling firm 'Richard Harris Law Firm',1-4,Nevada,Worker Compensation
Assign handling firm 'Morgan and Morgan',1-4,Nevada,Labour Law
Assign handling firm 'SAD',5,Nebraska,Any
Assign handling firm 'Friedman Law Offices',1-4,Nebraska,Any
Assign handling firm 'SAD',1-4,Nebraska,Nursing Home
Assign handling firm 'SAD',1-4,Nebraska,Product Liability
Assign handling firm 'Rosenblum and Associates',1-4,Nebraska,Automobile Accident
Assign handling firm 'Bob Moodie',1-4,Nebraska,Worker Compensation
Assign handling firm 'Morgan and Morgan',1-4,Nebraska,Labour Law
Assign handling firm 'SAD',5,Missouri,Any
Assign handling firm 'DiPasquale Moore',1-4,Missouri,Any
Assign handling firm 'DiPasquale Moore',1-4,Missouri,Nursing Home
Assign handling firm 'SAD',1-4,Missouri,Product Liability
Assign handling firm 'Boyda Law LLC'if the eastern part of the State,1-4,Missouri,Any
Assign handling firm 'Boyda Law LLC'for western half of the state,1-4,Missouri,Any
Assign handling firm 'Bruning Law Firm'or 'DiPasquale Moore LLC',1-4,Missouri,Worker Compensation
Assign handling firm 'Morgan and Morgan',1-4,Missouri,Labour Law
Assign handling firm 'SAD',5,Mississippi,Any
Assign handling firm 'Langston and Lott',1-4,Mississippi,Any
Assign handling firm 'Barlow and Goff',1-4,Mississippi,Nursing Home
Assign handling firm 'SAD',1-4,Mississippi,Product Liability
Assign handling firm 'Barlow and Goff'or 'Langston and Lott',1-4,Mississippi,Worker Compensation
Assign handling firm 'Morgan and Morgan',1-4,Mississippi,Labour Law
Assign handling firm 'SAD',5,Florida,Any
Assign handling firm 'Rubenstein',4,Florida,Any
Assign handling firm 'Labovick',1-3,Florida,Any
Assign handling firm 'Clinesmith',1-4,Florida,Nursing Home
Assign handling firm 'SAD',1-4,Florida,Product Liability
Assign handling firm 'Adiel - Labovick Law Group',3-4,Florida,Worker Compensation
Assign handling firm 'Morgan and Morgan',1-2,Florida,Worker Compensation
Assign handling firm 'Morgan and Morgan',1-4,Florida,Labour Law
Assign handling firm 'TEST FL',3,Florida,Worker Compensation
Assign handling firm 'SAD',5,Arkansas,Any
Assign handling firm 'Taylor and Taylor Law Firm',1-4,Arkansas,Any
Assign handling firm 'Clinesmith',1-4,Arkansas,Nursing Home
Assign handling firm 'SAD',1-4,Arkansas,Product Liability
Assign handling firm 'Rainwater Hold and Sexton',1-4,Arkansas,Worker Compensation
Assign handling firm 'Matt Fendon',1-4,Arkansas,Labour Law
Assign handling firm 'TEST AR',3,Arkansas,Product Liability
Assign handling firm 'SAD',5,Wyoming,Any
Assign handling firm 'Terry Rosenblum and Associates',1-4,Wyoming,Any
Assign handling firm 'SAD',1-4,Wyoming,Nursing Home
Assign handling firm 'Terry Rosenblum and Associates',1-4,Wyoming,Product Liability
Assign handling firm 'SAD',1-4,Wyoming,Worker Compensation
Assign handling firm 'Morgan and Morgan',1-4,Wyoming,Labour Law
Assign handling firm 'SAD',5,Arizona,Any
Assign handling firm 'SAD',4,Arizona,Any
Assign handling firm 'Ramos Law',1-3,Arizona,Any
Assign handling firm 'SAD',1-3,Arizona,Product Liability
Assign handling firm 'Clinesmith',1-3,Arizona,Nursing Home
Assign handling firm 'Lazzara Law Firm',1-3,Arizona,Automobile Accident
Assign handling firm 'Matt Fendon',1-3,Arizona,Worker Compensation
Assign handling firm 'Matt Fendon',1-4,Arizona,Labour Law
Assign handling firm 'TEST AZ',2,Arizona,Labour Law
Assign handling firm 'SAD',5,California,Any
Assign handling firm 'Ledger Law'for all of CA except Orange County,2-4,California,Any
Assign handling firm 'Easton and Easton'for Orange County,2-4,California,Any
Assign handling firm 'Idiart Law'for North of Bakersfield,2-4,California,Any
Assign handling firm 'Kingsmen Law'for South of Bakersfield and North of Orange County,2-4,California,Any
Assign handling firm 'Easton and Easton'for South of Orange County,2-4,California,Any
Assign handling firm 'Frank Su'for within 30 miles of SanFrancisco,2-4,California,Worker Compensation
Assign handling firm 'Nyman Turkish'for all of Northern Cal except within 30 mins of SanFrancisco,2-4,California,Worker Compensation
"Assign handling firm 'Leigh Law Group'for South of Fresno, North of Los Angeles",2-4,California,Worker Compensation
Assign handling firm 'Stoll Nussbaum and Polakov'for South of Los Angeles,2-4,California,Worker Compensation
Assign handling firm 'Morgan and Morgan',2-4,California,Labour Law
Assign handling firm 'TEST CA',5,California,Any
Assign handling firm 'SAD',5,Colorado,Any
Assign handling firm 'Ramos',1-4,Colorado,Any
Assign handling firm 'Clinesmith',1-4,Colorado,Nursing Home
Assign handling firm 'SAD',1-4,Colorado,Product Liability
Assign handling firm 'Morgan and Morgan',1-4,Colorado,Labour Law
Assign handling firm 'TEST CO',5,Colorado,Any
Assign handling firm 'SAD',5,Connecticut,Any
Assign handling firm 'Keches',1-4,Connecticut,Any
Assign handling firm 'Keches',1-4,Connecticut,Nursing Home
Assign handling firm 'Keches',1-4,Connecticut,Product Liability
Assign handling firm 'Sean Flaherty',1-4,Connecticut,Worker Compensation
Assign handling firm 'Sean Flaherty',2-4,Connecticut,Labour Law
Assign handling firm 'TEST CT',4,Connecticut,Medical Malfuntion
Assign handling firm 'Kimmel Carter Roman Pelts',1-4,Delaware,Any
Assign handling firm 'Morgan and Morgan',1-4,Delaware,Labour Law
Assign handling firm 'TEST DL',4,Delaware,Labour Law
Assign handling firm 'Saltz Mongoluzzi',5,Washington DC,Any
Assign handling firm 'McCarthy Wilson',1-4,Washington DC,Any
Assign handling firm 'Clinesmith',1-4,Washington DC,Nursing Home
Assign handling firm 'SAD',1-4,Washington DC,Product Liability
Assign handling firm 'McCarthy Wilson',1-4,Washington DC,Worker Compensation
Assign handling firm 'Morgan and Morgan',1-4,Washington DC,Labour Law
Assign handling firm 'Beasley Allen',5,Georgia,Any
Assign handling firm 'Monge and Associated',1-4,Georgia,Any
Assign handling firm 'Clinesmith',1-4,Georgia,Nursing Home
Assign handling firm 'Beasley Allen',1-4,Georgia,Product Liability
Assign handling firm 'Beasley Allen'for any Catastrophic Injury,1-4,Georgia,Any
Assign handling firm 'Kaufman Law PC',3-4,Georgia,Worker Compensation
Assign handling firm 'Sadow and Froy',1-2,Georgia,Worker Compensation
Assign handling firm 'Morgan and Morgan',1-4,Georgia,Labour Law
Assign handling firm 'TEST GE',1-4,Georgia,Product Liability
Assign handling firm 'SAD',5,Idaho,Any
Assign handling firm 'Stephen Nemec',1-4,Idaho,Worker Compensation
Assign handling firm 'Morgan and Morgan',1-4,Idaho,Labour Law
Assign handling firm 'TEST ID',3,Idaho,Worker Compensation
Assign handling firm 'SAD',5,Illinois,Any
Assign handling firm 'Whiteside and Goldberg'or 'Tarver Law' or 'Ankin Law',1-4,Illinois,Any
Assign handling firm 'Whiteside and Goldberg'or 'Ankin Law',1-4,Illinois,Worker Compensation
Assign handling firm 'Morgan and Morgan',1-4,Illinois,Labour Law
Assign handling firm 'TEST IL',5,Illinois,Automobile Accident
Assign handling firm 'SAD',5,Indiana,Any
Assign handling firm 'McCready Law',1-4,Indiana,Any
Assign handling firm 'Klezmer and Maudlin',1-4,Indiana,Worker Compensation
Assign handling firm 'Morgan and Morgan',1-4,Indiana,Labour Law
Assign handling firm 'TEST IN',1-2,Indiana,Nursing Home
Assign handling firm 'SAD',5,Iowa,Any
Assign handling firm 'Dutton and Drake',1-4,Iowa,Any
Assign handling firm 'Dutton and Drake',1-4,Iowa,Worker Compensation
Assign handling firm 'Morgan and Morgan',1-4,Iowa,Labour Law
Assign handling firm 'TEST IO',4,Iowa,Product Liability
Assign handling firm 'SAD',5,Kansas,Any
Assign handling firm 'Peterson and Associates'or 'DiPasquale Moore LLC',1-4,Kansas,Any
Assign handling firm 'Cooper Law Office'or 'DiPasquale Moore LLC',1-4,Kansas,Worker Compensation
Assign handling firm 'Morgan and Morgan',1-4,Kansas,Labour Law
Assign handling firm 'TEST KA',4,Kansas,Worker Compensation
Assign handling firm 'SAD',5,Kentucky,Any
Assign handling firm 'Cowley Law Offices'or,1-4,Kentucky,Any
Assign handling firm 'Dolt Thompson Shepard',1-4,Kentucky,Medical Malfuntion
Assign handling firm 'Dolt Thompson Shepard',1-4,Kentucky,Nursing Home
Assign handling firm 'Morgan and Morgan',1-4,Kentucky,Worker Compensation
Assign handling firm 'Morgan and Morgan',1-4,Kentucky,Labour Law
Assign handling firm 'TEST KY',3-5,Kentucky,Labour Law
Assign handling firm 'SAD',5,Maryland,Any
Assign handling firm 'Swartz',1-4,Maryland,Any
Assign handling firm 'Swartz',1-4,Maryland,Nursing Home
Assign handling firm 'Swartz',1-4,Maryland,Product Liability
Assign handling firm 'Swartz',1-4,Maryland,Worker Compensation
Assign handling firm 'Morgan and Morgan',1-4,Maryland,Labour Law
Assign handling firm 'TEST MD',1-5,Maryland,Product Liability
Assign handling firm 'SAD',5,Montana,Any
Assign handling firm 'Lowe Law Group',1-4,Montana,Any
Assign handling firm 'SAD',1-4,Montana,Nursing Home
Assign handling firm 'SAD',1-4,Montana,Product Liability
Assign handling firm 'Morgan and Morgan',1-4,Montana,Labour Law
Assign handling firm 'SAD',5,New Hampshire,Any
Assign handling firm 'Keches Law Group',1-4,New Hampshire,Any
Assign handling firm 'Keches Law Group',1-4,New Hampshire,Nursing Home
Assign handling firm 'Keches Law Group',1-4,New Hampshire,Product Liability
Assign handling firm 'Keches Law Group',1-4,New Hampshire,Worker Compensation
Assign handling firm 'SAD',5,New Mexico,Any
Assign handling firm 'McEldrew',1-4,New Mexico,Any
Assign handling firm 'McEldrew',1-4,New Mexico,Nursing Home
Assign handling firm 'McEldrew',1-4,New Mexico,Product Liability
Assign handling firm 'John Sloan',1-4,New Mexico,Worker Compensation
Assign handling firm 'Morgan and Morgan',1-4,New Mexico,Labour Law
Assign handling firm 'REFER TO NY SECTION',1-5,New York,Any
Assign handling firm 'SAD',5,Ohio,Any
Assign handling firm 'Nager Romaine & Schneiberg ',1-4,Ohio,Any
Assign handling firm 'Clinesmith',1-4,Ohio,Nursing Home
Assign handling firm 'SAD',1-4,Ohio,Product Liability
Assign handling firm 'Nager Romaine & Schneiberg',1-4,Ohio,Worker Compensation
Assign handling firm 'Morgan and Morgan',1-4,Ohio,Labour Law
Assign handling firm 'SAD',5,Oklahoma,Any
Assign handling firm 'Fishee and Yaffe',1-4,Oklahoma,Any
Assign handling firm 'Clinesmith',1-4,Oklahoma,Nursing Home
Assign handling firm Send to 'SAD',1-4,Oklahoma,Product Liability
Assign handling firm 'Eliot Yaffe'for Western hald of Oklahoma,1-4,Oklahoma,Any
Assign handling firm 'Terry M Rosenblum and Associates'for Eastern half of Oklahoma,1-4,Oklahoma,Automobile Accident
Assign handling firm 'Eliot Yaffe',1-4,Oklahoma,Worker Compensation
Assign handling firm 'Morgan and Morgan',1-4,Oklahoma,Labour Law
Assign handling firm 'REFER TO PA SECTION',1-5,Pennsylvania,Any
Assign handling firm 'SAD',5,Rhode Island,Any
Assign handling firm 'Keches',1-4,Rhode Island,Any
Assign handling firm 'Keches',1-4,Rhode Island,Nursing Home
Assign handling firm 'Keches',1-4,Rhode Island,Product Liability
Assign handling firm 'Sean Flaherty ',1-4,Rhode Island,Worker Compensation
Assign handling firm 'Sean Flaherty ',1-4,Rhode Island,Labour Law
Assign handling firm 'SAD',5,South Carolina,Any
Assign handling firm 'Hawk Law',1-4,South Carolina,Any
Assign handling firm 'Hawk Law',1-4,South Carolina,Nursing Home
Assign handling firm 'Hawk Law',1-4,South Carolina,Product Liability
Assign handling firm 'Hawk Law',1-4,South Carolina,Worker Compensation
Assign handling firm 'The Noble Firm',1-4,South Carolina,Labour Law
Assign handling firm 'SAD',5,South Dakota,Any
Assign handling firm 'Lowe Law Group',1-4,South Dakota,Any
Assign handling firm 'SAD',1-4,South Dakota,Nursing Home
Assign handling firm 'SAD',1-4,South Dakota,Product Liability
Assign handling firm 'SAD',1-4,South Dakota,Worker Compensation
Assign handling firm 'Morgan and Morgan',1-4,South Dakota,Labour Law
Assign handling firm 'SAD',5,Vermont,Any
Assign handling firm 'Keches',1-4,Vermont,Any
Assign handling firm 'Keches',1-4,Vermont,Nursing Home
Assign handling firm 'Keches',1-4,Vermont,Product Liability
Assign handling firm 'SAD',1-4,Vermont,Worker Compensation
Assign handling firm 'Morgan and Morgan',1-4,Vermont,Labour Law
Assign handling firm 'SAD',5,Virginia,Any
Assign handling firm 'Commonwealth Law Group',1-4,Virginia,Any
Assign handling firm 'Commonwealth Law Group',1-4,Virginia,Nursing Home
Assign handling firm 'Commonwealth Law Group',1-4,Virginia,Product Liability
Assign handling firm 'Harbison Kavanagh',1-4,Virginia,Product Liability
Assign handling firm 'Commonwealth Law Group or 'Harbison Kavanagh',1-4,Virginia,Worker Compensation
Assign handling firm 'Morgan and Morgan',1-4,Virginia,Labour Law
Assign handling firm 'SAD',5,Washington,Any
Assign handling firm 'Ledger Law',1-4,Washington,Any
Assign handling firm 'Puget Law',1-4,Washington,Nursing Home
Assign handling firm 'Ledger Law',1-4,Washington,Product Liability
Assign handling firm 'Phillips Law Firm PLLC',1-4,Washington,Worker Compensation
Assign handling firm 'Morgan and Morgan',1-4,Washington,Labour Law
Assign handling firm 'SAD',5,West Virginia,Any
Assign handling firm 'Bordas and Bordas',1-4,West Virginia,Any
Assign handling firm 'Bordas and Bordas',1-4,West Virginia,Nursing Home
Assign handling firm 'Bordas and Bordas',1-4,West Virginia,Product Liability
Assign handling firm 'Hall and Copetas'or 'The Wallace Firm',1-4,West Virginia,Worker Compensation
Assign handling firm 'Morgan and Morgan',1-4,West Virginia,Labour Law
Assign handling firm 'SAD',5,Wisconsin,Any
Assign handling firm 'Hupy and Abraham',1-4,Wisconsin,Any
Assign handling firm 'SAD',1-4,Wisconsin,Nursing Home
Assign handling firm 'Hupy and Abraham',1-4,Wisconsin,Product Liability
Assign handling firm 'Gillick Wicht Gillick & Graf',1-4,Wisconsin,Worker Compensation
Assign handling firm 'Morgan and Morgan',1-4,Wisconsin,Labour Law
